salon;edition_annee;entreprise;secteur_metier;site_web;email;type_email;email_origine;email_annuaire;email_site;email_site_source;nom_contact;fonction;ville;departement;telephone;source_url;date_collecte;statut_validation;segment_ICP
Medfel;2026;MEDIMAT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/medimat/;2026-06-20;a_enrichir;Haute
Medfel;2026;TUNISUD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/tunisud/;2026-06-20;a_enrichir;Haute
Medfel;2026;EMBALATGES GIRONA SL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/embalatges-girona-sl/;2026-06-20;a_enrichir;Haute
Medfel;2026;EURL MAHMOUDI EXPORT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/eurl-mahmoudi-export/;2026-06-20;a_enrichir;Haute
Medfel;2026;SARL NASRI TRADIN;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/gerant-de-la-salr-abd-elghani/;2026-06-20;a_enrichir;Haute
Medfel;2026;BENOIT ESCANDE EDITIONS SARL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/benoit-escande-editions-sarl/;2026-06-20;a_enrichir;Haute
Medfel;2026;PEPINIERES IBANEZ;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/pepinieres-ibanez/;2026-06-20;a_enrichir;Haute
Medfel;2026;VEGETABLE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/vegetable/;2026-06-20;a_enrichir;Haute
Medfel;2026;GHECHAM ISLEM – POMMES D’ALGÉRIE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/production-de-pommes-islem/;2026-06-20;a_enrichir;Haute
Medfel;2026;FIMAT SPA GROUPE CARTONPACK;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/fimat-spa-groupe-cartonpack/;2026-06-20;a_enrichir;Haute
Medfel;2026;COMPAGNIE FRUITIERE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/compagnie-fruitiere/;2026-06-20;a_enrichir;Haute
Medfel;2026;SUDESPA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sudespa/;2026-06-20;a_enrichir;Haute
