Salon;Secteur / Métier;Ville;Fréquence;Période habituelle;Site officiel;Pertinence ICP (exposants = prospects);Annuaire exposants en ligne;Notes
SIAL Paris;Alimentation tous produits (international);Paris Nord Villepinte;Biennale (années paires);Octobre;sialparis.fr;Haute;Oui;~7500 exposants, annuaire en ligne — la plus grosse source
Salon International de l'Agriculture (SIA);Agriculture & produits régionaux;Paris Porte de Versailles;Annuel;Février-Mars;salon-agriculture.com;Moyenne;Oui;Nombreux producteurs/transformateurs régionaux
CFIA Rennes;Équipement, ingrédients, process & emballage agro;Rennes;Annuel;Mars;cfiaexpo.com;Faible-Moyenne;Oui;Exposants = fournisseurs ; ICP = visiteurs
CFIA Toulouse;Équipement & process agro;Toulouse;Annuel;variable;cfiaexpo.com;Faible;Oui;Édition régionale
Serbotel;Métiers de bouche, restauration, boulangerie-pâtisserie;Nantes;Biennale;Octobre;serbotel.com;Haute;Oui;Producteurs & artisans des métiers de bouche
Sirha Lyon;Restauration & hôtellerie (CHR), food service;Lyon Eurexpo;Biennale (années impaires);Janvier;sirha.com;Haute;Oui;Très gros salon CHR
Europain;Boulangerie-pâtisserie;Paris;Biennale;Janvier/variable;europain.com;Haute;Oui;Cible boulangers/pâtissiers
Sandwich & Snack Show;Snacking, restauration rapide, traiteur;Paris;Annuel;Mars-Avril;sandwichshows.com;Haute;Oui;Traiteurs, snacking, food-to-go
Salon du Chocolat;Chocolat, confiserie;Paris;Annuel;Octobre-Novembre;salonduchocolat.fr;Moyenne;Oui;Chocolatiers/confiseurs
Gourmet Selection;Épicerie fine;Paris;Annuel;Septembre;gourmet-selection.com;Haute;Oui;Producteurs épicerie fine
Salon Saveurs des Plaisirs Gourmands;Épicerie fine & producteurs;Paris;Annuel (2 éditions);Mai & Décembre;salon-saveurs.com;Moyenne;Oui;Petits producteurs
Salon du Fromage et des Produits Laitiers;Fromagerie, crémerie, produits laitiers;Paris;Biennale;Février-Mars;salondufromage.fr;Haute;Oui;Fromagers/laitiers
Mondial du Fromage et des Produits Laitiers;Fromage & produits laitiers;Tours;Biennale;Septembre;mondialdufromage.com;Haute;Oui;Filière fromagère
Natexpo;Bio, produits naturels, épicerie spécialisée;Lyon / Paris (alterné);Biennale;Septembre-Octobre;natexpo.com;Haute;Oui;Transformateurs bio
Tech&Bio;Agriculture biologique & techniques;Bourg-lès-Valence;Biennale;Septembre;tech-n-bio.com;Moyenne;Oui;Producteurs bio
Medfel;Fruits & légumes (business, import/export);Perpignan;Annuel;Avril-Mai;medfel.com;Haute;Oui;Négoce F&L
SIVAL;Productions végétales (légumes, fruits, viti, horti);Angers;Annuel;Janvier;sival-angers.com;Moyenne;Oui;Amont végétal
Wine Paris & Vinexpo Paris;Vin & spiritueux;Paris;Annuel;Février;wineparis-vinexpo.com;Haute;Oui;Négoce boissons/caves
SITEVI;Équipement vigne/vin/olive/F&L;Montpellier;Biennale;Novembre-Décembre;sitevi.com;Faible;Oui;Équipement (exposants fournisseurs)
Vinitech-Sifel;Équipement vigne & fruits/légumes;Bordeaux;Biennale;Novembre-Décembre;vinitech-sifel.com;Faible;Oui;Équipement
Salon des Vignerons Indépendants;Vin;Paris, Lyon, Strasbourg…;Annuel;Variable;vigneron-independant.com;Moyenne;Partiel;Vignerons producteurs
SPACE;Élevage / productions animales;Rennes;Annuel;Septembre;space.fr;Moyenne;Oui;Amont élevage + équipement
Sommet de l'Élevage;Élevage;Clermont-Ferrand (Cournon);Annuel;Octobre;sommet-elevage.fr;Moyenne;Oui;Amont élevage
All4Pack Paris;Emballage & intralogistique;Paris;Biennale;Novembre;all4pack.com;Faible;Oui;Fournisseurs emballage
Salon Régal;Gastronomie & producteurs;Toulouse;Annuel;Décembre;regal.laregion.fr;Moyenne;Partiel;Producteurs Occitanie
Foire Gastronomique de Dijon;Gastronomie;Dijon;Annuel;Novembre;foirededijon.com;Moyenne;Partiel;Producteurs/artisans
Omnivore;Cuisine & CHR;Paris;Annuel;variable;omnivore.com;Faible-Moyenne;Partiel;CHR/chefs
Djazagro (réf. exportateurs FR);Agroalimentaire (Maghreb);Alger;Annuel;Avril;djazagro.com;Faible;Oui;Exposants français exportateurs
